Filename,Corpus,Collection,Author,Title,Translator,,10
en01.txt,English,Atlanta Noir,Tanarive Due,Snowbound,na,,
en02.txt,English,Atlanta Noir,Tayari Jones,Caramel,na,,
en03.txt,English,Baltimore Noir,Laura Lippman,Locust Point,na,,
en04.txt,English,Mississippi Noir,Ace Atkins,Combustible,na,,
en05.txt,English,Queens Noir,Victoria Eng,The Flower of Flushing,na,,
en06.txt,English,San Francisco Noir,Alejandro Murguía,The Other Barrio,na,,
en07.txt,English,Seattle Noir,Thomas P. Hopp,Blood Tide,na,,
en08.txt,English,New Yorker,Te-Ping Chen,Lulu,na,,
en09.txt,English,New Yorker,Colson Whitehead,The Match,na,,
en10.txt,English,New Yorker,Lore Segal,Dandelion,na,,
en11.txt,English,New Yorker,Sally Rooney,Color and Light,na,,
en12.txt,English,New Yorker,Yiyun Li,All Will Be Well,na,,
en13.txt,English,New Yorker,Jonathan Lethem,The Starlet Apartments,na,,
en14.txt,English,New Yorker,T. Coraghessan Boyle,Asleep at the Wheel,na,,
en15.txt,English,New Yorker,Emma Cline,What Can You Do With a General,na,,
en16.txt,English,New Yorker,Salvatore Scibona,Do Not Stop,na,,
en17.txt,English,New Yorker,Taymour Soomro,Philosophy of the Foot,na,,
en18.txt,English,Montana Noir,Debra Magpie Earling,Custer's Last Stand,na,,
en19.txt,English,San Francisco Noir,David Corbett,It Can Happen,na,,
en20.txt,English,San Francisco Noir,Sin Soraco,Double Espresso,na,,
it10.txt,Italian,Rome Noir,Carlo Lucarelli,Beret,Kathrine Jason,,
it11.txt,Italian,Venice Noir,Matteo Righetto,Cloudy Water,Judith Forshaw,,
it16.txt,Italian,?,Luigi Malerba,Consuming the View,Lesley Riva,,
it13.txt,Italian,Rome Noir,Antonio Scurati,Eternal Rome,Anne Milano Appel,,
it17.txt,Italian,Anthology of Contemporary Italian Fiction,Genvra Bompiani,"Great Bear, Little Bear",Brian Kern; Sergio Parussa,,
it14.txt,Italian,Anthology of Contemporary Italian Fiction,Pier Vittorio Tondelli,Leo's World,Simon Pleasance,,
it12.txt,Italian,Anthology of Contemporary Italian Fiction,Gianni Celati,Lost Road,Anthony Oldcorn,,
it04.txt,Italian,Rome Noir,Tommaso Pincio,The Melting Pot,Ann Goldstein,,
it01.txt,Italian,Anthology of Contemporary Italian Fiction,Antonio Tabucchi,Windswept Lane,Tim Parks,,
it07.txt,Italian,Anthology of Contemporary Italian Fiction,Paolo Valesio,The Day of Thanksgiving,Graziella Sidoli; Stefania Stewart,,
it15.txt,Italian,,Pier Maria Pasinetti,Melodrama,Michael Henry Heim,,
it05.txt,Italian,,Erri De Luca,Montedido,Michael Moore,,
it03.txt,Italian,,Anna Maria Ortese,On the Neverending Terrace,Liz Herron,,
it02.txt,Italian,,Daniele Del Giudice,Reaching Dew Point,Joseph Farrell,,
it09.txt,Italian,,Gesualdo Bufalino,The Keeper of Ruins,Patrick Creagh,,
it08.txt,Italian,,Fabrizia Ramondino ,The Piazza,Michael Sullivan,,
it06.txt,Italian,,Giorgio Manganelli,The Self-Awareness of the Labyrinth,Henry Martin,,
it18.txt,Italian,Modern Italian short stories,Carlo Levi,the massacre of vallucciole,Ben Johnson,,
it19.txt,Italian,Modern Italian short stories,Indro Montanelli,His excellency,Uguccione Ranieri,,
it20.txt,Italian,Modern Italian short stories,Giovanni Guareschi,The Petition,Frances Frenaye,,
pt1.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,Caio Fernando Abreu,Dragons,David Treece,,
pt2.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,Carlos Heitor Cony,Order of the Day,Daphne Patai,,
pt3.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,Autran Dourado,Bald Island,Elizabeth Lowe,,
pt4.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,Milton Hatoum,The Truth Is a Seven-Headed Animal,llen Dore ́ Watson,,
pt5.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,Clarice Lispector,The Buffalo,Giovanni Pontiero,,
pt6.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,Nelida Pinon,Big-Bellied Cow,Gregory Rabassa,,
pt7.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,Samuel Rawet,The Prophet,Nelson H. Vieira,,
pt8.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,Murilo Rubiao,"Zacarias, the Pyrotechnist",Thomas Colchie,,
pt9.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,Moacyr Scliar,The Cow,loah F. Giacomelli,,
pt10.txt,Portuguese,Oxford Anthology of the Brazilian Short Stor,J. J. Veiga,The Misplaced Machine,Pamela G. Bird    ,,
pt11.txt,Portuguese,,Breno Accioly,Joa˜ o Urso,R. P. Joscelyne,,
pt12.txt,Portuguese,,Joao Alphonsus,Sardanapalo,Darlene Sadlier,,
pt13.txt,Portuguese,,Jorge Amado,How Porciu´ ncula the Mulatto Got the Corpse off His Bac,Edwin Honig and Margot Honig,,
pt14.txt,Portuguese,,Mario Andrade,It Can Hurt Plenty,William Grossman,,
pt15.txt,Portuguese,,Carlos Drummond de Andrade,Miguel's Theft,Robert Stock,,
pt16.txt,Portuguese,,Joaquim Maria Machado de Assis,Wedding Song,Neil Miller and Karen McLean,,
pt17.txt,Portuguese,,Paulo Barreto,The Baby in Rose Tarlatan,K. David Jackson,,
pt18.txt,Portuguese,,Paulo Emılio Salles Gomes,Her Times Two,Margaret A. Neves,,
pt19.txt,Portuguese,,Affonso Henriques de Lima Barreto,The Man Who Knew Javanese,Clifford E. Lander,,
pt20.txt,Portuguese,,Osman Lins,Baroque Tale or Tripartite Unity.,Adria Frizzi,,
ru1.txt,Russian,St. Petersburg,Andrei Kivinov,Training Day,Polly Gannon,,
ru2.txt,Russian,St. Petersburg,Alexander Kudriavtsev,The Witching Hour,Marian Schwartz,,
ru3.txt,Russian,St. Petersburg,Anton Chizh,The Nutcracker,Walt Tanner,,
ru4.txt,Russian,St. Petersburg,Mikhail Lialin,Paranoia,Margarita Shalina,,
ru5.txt,Russian,St. Petersburg,Vladimir Berezin,Hotel Angleterre,Amy Pieterse,,
ru6.txt,Russian,Moscow,Anna Starobinets,The Mercy Bus,Mary C. Gannon,,
ru7.txt,Russian,Moscow,Ludmilla Petrushevskaya,In the New Development,Keith Gessen and Anna Summers,,
ru8.txt,Russian,Moscow,Gleb Shulpyaov,The Doppelganger,Sylvia Maizell,,
ru9.txt,Russian,Moscow,Maxim Maximov,Daddy Loves Me,Matvei Yankelevich,,
ru10.txt,Russian,The Compromise,Sergei Dovlatov,The Fifth Compromise,Anne Frydman,,
ru11.txt,Russian,Soviet women writing : fifteen short stories,Nina Katerli,The Monster,Bernard Meares,,
ru12.txt,Russian,Soviet women writing : fifteen short stories,Tatyana Nabatnikova,In Memoriam,Catharine Theimer Nepomnyashchy,,
ru13.txt,Russian,Soviet women writing : fifteen short stories,Natalia Ilina,Repairing Our Car,Steven W. Nielsen,,
ru14.txt,Russian,Soviet women writing : fifteen short stories,Viktoria Tokareva,Five Figures on A Pedestal,Debra Irving,,
ru15.txt,Russian,Soviet women writing : fifteen short stories,Natalia Baranskaya,Laine's House,Gerald Mikkelson and Margaret Winchell,,
ru16.txt,Russian,Soviet women writing : fifteen short stories,Irina Polyanskaya,Mitigating Circumstances,Michele A. Berdy,,
ru17.txt,Russian,Soviet women writing : fifteen short stories,Lyudmila Petrushevskaya,The Overlook,Dobrochna Dyrcz-Freeman,,
ru18.txt,Russian,Soviet women writing : fifteen short stories,Larisa Vaneeva,Parade of the Planets,Diane Nemec Ignashev,,
ru19.txt,Russian,The New Soviet Fiction,Tatyana Tolstaya,Fire and Dust,Jamey Gambrell,,
ru20.txt,Russian,The New Soviet Fiction,Andrei Bitov,Pushkin's Photograph (1799-2099),Priscilla Meyer,,
es01.txt,Spanish,Buenos Aires Noir,Inés Garland,The Dead Wife,John Washington,,
es02.txt,Spanish,Buenos Aires Noir,Claudia Piñeiro,Death and the Canoe,M. Cristina Lambert,,
es03.txt,Spanish,Mexico City Noir,Myriam Laurini,Hipódromo,Achy Obejas,,
es04.txt,Spanish,New Yorker,Mariana Enriquez,Spiderweb,Megan McDowell,,
es05.txt,Spanish,New Yorker,César Aira,Picasso,Chris Andrews,,
es06.txt,Spanish,New Yorker,Roberto Bolaño,Mexican Manifesto,Laura Healy,,
es07.txt,Spanish,New Yorker,Javier Marías,While the Women Are Sleeping,Margaret Jull Costa,,
es08.txt,Spanish,New Yorker,Guillermo Martínez,Vast Hell,Alberto Manguel,,
es09.txt,Spanish,Latin American Women,Isabel Allende,An Act of Vengeance,"E.D. Carter, Jr.",,
es10.txt,Spanish,Latin American Women,Dora Alonso,Sophia and the Angel,Beatriz Teleki,,
es11.txt,Spanish,Latin American Women,Helena Araujo,Asthmatic,Catherine Rodríguez-Nieto,,
es12.txt,Spanish,Latin American Women,María Luisa Bombal,The Tree,Richard Cunningham; Lucía Guerra,,
es13.txt,Spanish,Origins of Desire,Manuel Vazquez Montalban,"Helena, of Paris, France",Ed Emery,,
es14.txt,Spanish,Origins of Desire,Javier Tomeo,Short-sighted,Anthony Edkins,,
es15.txt,Spanish,Origins of Desire,Javier Marias,As the women sleep,Helen Lane,,
es16.txt,Spanish,Origins of Desire,Jose Maria Merino,Cousin Rosa,Nick Caistor,,
es17.txt,Spanish,Origins of Desire,Cristina Fernandez Cubas,"Omar, my love",Miriam Frank,,
es18.txt,Spanish,Origins of Desire,Valenti Puig,First Days,Andrew Langdon-Davies,,
es19.txt,Spanish,Origins of Desire,Luis Mateo Diez,"Albanito, my friend",David M. Lambert,,
es20.txt,Spanish,Origins of Desire,Ignacio Martinez de Pison,Buffalo,Jason Wilson,,